County,Year,Population
San Benito,2015,56452
San Bernardino,2015,2120672
San Diego,2015,3264449
San Francisco,2015,858224
San Joaquin,2015,723856
San Luis Obispo,2015,276669
San Mateo,2015,760343
Santa Barbara,2015,442987
Santa Clara,2015,1905156
Santa Cruz,2015,273966
Shasta,2015,179004
Sierra,2015,3195
Siskiyou,2015,44731
Solano,2015,427148
Sonoma,2015,500083
Stanislaus,2015,534905
Sutter,2015,96390
Tehama,2015,63839
Trinity,2015,13676
Tulare,2015,462033
Tuolumne,2015,54664
Ventura,2015,851426
Yolo,2015,211078
Yuba,2015,74044
Alameda,2016,1629738
Alpine,2016,1160
Amador,2016,37667
Butte,2016,224432
Calaveras,2016,45246
Colusa,2016,21965
Contra Costa,2016,1127279
Del Norte,2016,26956
El Dorado,2016,184461
Fresno,2016,984537
Glenn,2016,28639
Humboldt,2016,135417
Imperial,2016,186019
Inyo,2016,18632
Kern,2016,886153
Kings,2016,149744
Lake,2016,64741
Lassen,2016,30822
Los Angeles,2016,10180169
Madera,2016,154906
Marin,2016,263210
Mariposa,2016,18167
Mendocino,2016,88721
Merced,2016,271500
Modoc,2016,9625
Mono,2016,13676
Monterey,2016,438175
Napa,2016,141711
Nevada,2016,98520
Orange,2016,3172222
Placer,2016,375618
Plumas,2016,19847
Riverside,2016,2346717
Sacramento,2016,1495611
San Benito,2016,56624
San Bernardino,2016,2133906
San Diego,2016,3284477
San Francisco,2016,865709
San Joaquin,2016,735319
San Luis Obispo,2016,278141
San Mateo,2016,766589
Santa Barbara,2016,447073
Santa Clara,2016,1924582
Santa Cruz,2016,275737
Shasta,2016,177874
Sierra,2016,3195
Siskiyou,2016,44718
Solano,2016,430907
Sonoma,2016,502475
Stanislaus,2016,541006
Sutter,2016,96614
Tehama,2016,63946
Trinity,2016,13647
Tulare,2016,466431
Tuolumne,2016,54952
Ventura,2016,853961
Yolo,2016,215413
Yuba,2016,74328
Alameda,2017,1646405
Alpine,2017,1156
Amador,2017,38382
Butte,2017,226403
Calaveras,2017,45175
Colusa,2017,22050
Contra Costa,2017,1139313
Del Norte,2017,27060
El Dorado,2017,186223
Fresno,2017,995233
Glenn,2017,28730
Humboldt,2017,136430
Imperial,2017,187921
Inyo,2017,18598
Kern,2017,896101
Kings,2017,149559
Lake,2017,64740
Lassen,2017,30661
Los Angeles,2017,10231271
Madera,2017,156963
Marin,2017,263262
Mariposa,2017,18137
Mendocino,2017,89092
Merced,2017,275104
Modoc,2017,9562
Mono,2017,13759
Monterey,2017,442149
Napa,2017,141784
Nevada,2017,98613
Orange,2017,3198968
Placer,2017,383173
Plumas,2017,19818
Riverside,2017,2382640
Sacramento,2017,1513415
San Benito,2017,56879
San Bernardino,2017,2155590
San Diego,2017,3309509
San Francisco,2017,874008
San Joaquin,2017,747263
San Luis Obispo,2017,279210
San Mateo,2017,770256
Santa Barbara,2017,450025
Santa Clara,2017,1937473
Santa Cruz,2017,276504
Shasta,2017,178148
Sierra,2017,3203
Siskiyou,2017,44615
Solano,2017,436640
Sonoma,2017,504613
Stanislaus,2017,549976
Sutter,2017,96919
Tehama,2017,63949
Trinity,2017,13634
Tulare,2017,470716
Tuolumne,2017,54725
Ventura,2017,855910
Yolo,2017,218673
Yuba,2017,74645
